log_id,table,action,user,timestamp
L00221,PARTS,CREATE,user_16,2026-06-15
L00222,BOM,DELETE,user_16,2026-06-10
L00223,BOM,DELETE,user_20,2026-06-4
L00224,INVENTORY,UPDATE,user_9,2026-06-14
L00225,INVENTORY,CREATE,user_13,2026-06-3
L00226,PARTS,DELETE,user_19,2026-06-21
L00227,PARTS,DELETE,user_10,2026-06-6
L00228,INVENTORY,UPDATE,user_17,2026-06-13
L00229,PARTS,UPDATE,user_8,2026-06-6
L00230,PARTS,UPDATE,user_16,2026-06-24
L00231,BOM,CREATE,user_12,2026-06-22
L00232,PARTS,DELETE,user_12,2026-06-7
L00233,PARTS,DELETE,user_17,2026-06-26
L00234,BOM,DELETE,user_3,2026-06-28
L00235,BOM,CREATE,user_20,2026-06-28
L00236,INVENTORY,CREATE,user_17,2026-06-7
L00237,INVENTORY,UPDATE,user_19,2026-06-2
L00238,PARTS,UPDATE,user_1,2026-06-15
L00239,INVENTORY,UPDATE,user_15,2026-06-19
L00240,BOM,CREATE,user_3,2026-06-25
L00241,PARTS,UPDATE,user_5,2026-06-5
L00242,BOM,CREATE,user_4,2026-06-30
L00243,PARTS,CREATE,user_5,2026-06-13
L00244,BOM,UPDATE,user_4,2026-06-30
L00245,INVENTORY,UPDATE,user_19,2026-06-21
L00246,INVENTORY,DELETE,user_11,2026-06-28
L00247,INVENTORY,UPDATE,user_4,2026-06-15
L00248,PARTS,UPDATE,user_14,2026-06-1
L00249,BOM,DELETE,user_7,2026-06-11
L00250,BOM,UPDATE,user_10,2026-06-7
L00251,INVENTORY,DELETE,user_3,2026-06-10
L00252,BOM,UPDATE,user_20,2026-06-15
L00253,BOM,UPDATE,user_10,2026-06-21
L00254,INVENTORY,DELETE,user_3,2026-06-22
L00255,PARTS,DELETE,user_8,2026-06-9
L00256,INVENTORY,CREATE,user_16,2026-06-14
L00257,BOM,UPDATE,user_13,2026-06-29
L00258,BOM,UPDATE,user_15,2026-06-20
L00259,BOM,DELETE,user_13,2026-06-20
L00260,BOM,UPDATE,user_9,2026-06-2
L00261,INVENTORY,DELETE,user_18,2026-06-12
L00262,PARTS,DELETE,user_16,2026-06-29
L00263,INVENTORY,UPDATE,user_4,2026-06-19
L00264,BOM,DELETE,user_18,2026-06-14
L00265,INVENTORY,DELETE,user_17,2026-06-30
L00266,BOM,UPDATE,user_5,2026-06-17
L00267,INVENTORY,UPDATE,user_2,2026-06-21
L00268,INVENTORY,DELETE,user_6,2026-06-28
L00269,BOM,DELETE,user_17,2026-06-12
L00270,BOM,CREATE,user_11,2026-06-19
L00271,INVENTORY,CREATE,user_18,2026-06-23
L00272,PARTS,DELETE,user_18,2026-06-21
L00273,BOM,CREATE,user_18,2026-06-23
L00274,INVENTORY,CREATE,user_19,2026-06-27
L00275,PARTS,DELETE,user_12,2026-06-26
L00276,BOM,DELETE,user_10,2026-06-15
L00277,INVENTORY,CREATE,user_20,2026-06-23
L00278,INVENTORY,UPDATE,user_10,2026-06-26
L00279,INVENTORY,DELETE,user_2,2026-06-14
L00280,PARTS,DELETE,user_16,2026-06-30
L00281,BOM,CREATE,user_18,2026-06-12
L00282,BOM,CREATE,user_3,2026-06-9
L00283,INVENTORY,UPDATE,user_12,2026-06-3
L00284,PARTS,CREATE,user_7,2026-06-8
L00285,INVENTORY,DELETE,user_1,2026-06-11
L00286,INVENTORY,UPDATE,user_19,2026-06-30
L00287,INVENTORY,UPDATE,user_5,2026-06-28
L00288,INVENTORY,CREATE,user_19,2026-06-22
L00289,PARTS,DELETE,user_5,2026-06-10
L00290,BOM,CREATE,user_1,2026-06-7
L00291,BOM,DELETE,user_14,2026-06-8
L00292,INVENTORY,UPDATE,user_1,2026-06-3
L00293,INVENTORY,DELETE,user_9,2026-06-27
L00294,PARTS,DELETE,user_13,2026-06-21
L00295,INVENTORY,DELETE,user_11,2026-06-14
L00296,PARTS,DELETE,user_1,2026-06-24
L00297,INVENTORY,UPDATE,user_4,2026-06-10
L00298,BOM,CREATE,user_1,2026-06-11
L00299,PARTS,UPDATE,user_1,2026-06-28
L00300,BOM,UPDATE,user_3,2026-06-3
L00301,INVENTORY,UPDATE,user_16,2026-06-30
L00302,BOM,DELETE,user_14,2026-06-24
L00303,PARTS,CREATE,user_5,2026-06-12
L00304,PARTS,UPDATE,user_14,2026-06-1
L00305,BOM,DELETE,user_20,2026-06-8
L00306,INVENTORY,CREATE,user_7,2026-06-7
L00307,BOM,UPDATE,user_3,2026-06-28
L00308,BOM,UPDATE,user_12,2026-06-22
L00309,INVENTORY,DELETE,user_2,2026-06-14
L00310,BOM,CREATE,user_2,2026-06-21
L00311,BOM,DELETE,user_11,2026-06-19
L00312,BOM,UPDATE,user_7,2026-06-19
L00313,INVENTORY,DELETE,user_11,2026-06-2
L00314,INVENTORY,UPDATE,user_8,2026-06-23
L00315,BOM,DELETE,user_17,2026-06-12
L00316,PARTS,CREATE,user_2,2026-06-5
L00317,BOM,DELETE,user_6,2026-06-16
L00318,BOM,CREATE,user_8,2026-06-7
L00319,PARTS,DELETE,user_15,2026-06-28
L00320,PARTS,DELETE,user_5,2026-06-14
L00321,BOM,UPDATE,user_5,2026-06-22
L00322,PARTS,UPDATE,user_9,2026-06-20
L00323,PARTS,DELETE,user_12,2026-06-30
L00324,INVENTORY,CREATE,user_14,2026-06-14
L00325,BOM,CREATE,user_6,2026-06-15
L00326,PARTS,DELETE,user_2,2026-06-14
L00327,PARTS,DELETE,user_6,2026-06-3
L00328,INVENTORY,DELETE,user_16,2026-06-23
L00329,PARTS,DELETE,user_11,2026-06-29
L00330,PARTS,CREATE,user_13,2026-06-7
L00331,PARTS,CREATE,user_1,2026-06-12
L00332,INVENTORY,UPDATE,user_6,2026-06-27
L00333,PARTS,CREATE,user_13,2026-06-19
L00334,INVENTORY,UPDATE,user_18,2026-06-4
L00335,BOM,CREATE,user_11,2026-06-21
L00336,PARTS,DELETE,user_10,2026-06-9
L00337,PARTS,UPDATE,user_19,2026-06-24
L00338,PARTS,CREATE,user_10,2026-06-22
L00339,BOM,CREATE,user_4,2026-06-19
L00340,BOM,DELETE,user_9,2026-06-30
L00341,INVENTORY,DELETE,user_15,2026-06-30
L00342,PARTS,DELETE,user_5,2026-06-16
L00343,PARTS,CREATE,user_8,2026-06-25
L00344,PARTS,CREATE,user_8,2026-06-4
L00345,BOM,UPDATE,user_14,2026-06-18
L00346,BOM,CREATE,user_7,2026-06-27
L00347,PARTS,UPDATE,user_17,2026-06-21
L00348,BOM,UPDATE,user_14,2026-06-13
L00349,BOM,CREATE,user_5,2026-06-12
L00350,PARTS,CREATE,user_14,2026-06-26
L00351,BOM,UPDATE,user_1,2026-06-24
L00352,INVENTORY,UPDATE,user_12,2026-06-25
L00353,INVENTORY,DELETE,user_12,2026-06-1
L00354,PARTS,CREATE,user_20,2026-06-21
L00355,PARTS,UPDATE,user_20,2026-06-4
L00356,INVENTORY,UPDATE,user_3,2026-06-28
L00357,INVENTORY,CREATE,user_13,2026-06-27
L00358,BOM,UPDATE,user_18,2026-06-13
L00359,BOM,UPDATE,user_2,2026-06-20
L00360,PARTS,CREATE,user_15,2026-06-30
L00361,BOM,CREATE,user_7,2026-06-12
L00362,INVENTORY,DELETE,user_11,2026-06-9
L00363,PARTS,DELETE,user_18,2026-06-17
L00364,PARTS,DELETE,user_15,2026-06-2
L00365,INVENTORY,DELETE,user_5,2026-06-16
L00366,PARTS,UPDATE,user_9,2026-06-24
L00367,INVENTORY,CREATE,user_1,2026-06-14
L00368,PARTS,CREATE,user_10,2026-06-14
L00369,BOM,DELETE,user_13,2026-06-14
L00370,PARTS,UPDATE,user_5,2026-06-30
L00371,BOM,DELETE,user_1,2026-06-16
L00372,INVENTORY,UPDATE,user_18,2026-06-17
L00373,PARTS,UPDATE,user_20,2026-06-3
L00374,PARTS,UPDATE,user_9,2026-06-14
L00375,PARTS,DELETE,user_4,2026-06-20
L00376,BOM,CREATE,user_5,2026-06-16
L00377,INVENTORY,UPDATE,user_1,2026-06-10
L00378,INVENTORY,DELETE,user_19,2026-06-6
L00379,INVENTORY,UPDATE,user_13,2026-06-24
L00380,BOM,DELETE,user_9,2026-06-5
L00381,BOM,DELETE,user_16,2026-06-14
L00382,PARTS,CREATE,user_16,2026-06-11
L00383,INVENTORY,UPDATE,user_4,2026-06-2
L00384,BOM,UPDATE,user_15,2026-06-16
L00385,INVENTORY,DELETE,user_13,2026-06-18
L00386,INVENTORY,UPDATE,user_9,2026-06-28
L00387,BOM,DELETE,user_12,2026-06-18
L00388,PARTS,CREATE,user_11,2026-06-18
L00389,PARTS,CREATE,user_16,2026-06-26
L00390,BOM,DELETE,user_12,2026-06-7
L00391,INVENTORY,CREATE,user_5,2026-06-27
L00392,INVENTORY,DELETE,user_16,2026-06-3
L00393,PARTS,CREATE,user_13,2026-06-3
L00394,BOM,CREATE,user_17,2026-06-7
L00395,INVENTORY,UPDATE,user_2,2026-06-21
L00396,INVENTORY,UPDATE,user_11,2026-06-23
L00397,PARTS,UPDATE,user_18,2026-06-11
L00398,INVENTORY,CREATE,user_6,2026-06-11
L00399,BOM,UPDATE,user_7,2026-06-19
L00400,INVENTORY,UPDATE,user_9,2026-06-24
L00401,BOM,DELETE,user_17,2026-06-14
L00402,BOM,DELETE,user_11,2026-06-13
L00403,BOM,DELETE,user_18,2026-06-15
L00404,INVENTORY,UPDATE,user_15,2026-06-1
L00405,PARTS,UPDATE,user_15,2026-06-24
L00406,BOM,CREATE,user_3,2026-06-7
L00407,BOM,CREATE,user_20,2026-06-16
L00408,INVENTORY,DELETE,user_2,2026-06-15
L00409,PARTS,CREATE,user_10,2026-06-8
L00410,BOM,DELETE,user_6,2026-06-22
L00411,PARTS,DELETE,user_4,2026-06-27
L00412,PARTS,CREATE,user_10,2026-06-7
L00413,PARTS,DELETE,user_11,2026-06-12
L00414,BOM,UPDATE,user_1,2026-06-26
L00415,INVENTORY,CREATE,user_19,2026-06-22
L00416,INVENTORY,UPDATE,user_17,2026-06-20
L00417,BOM,DELETE,user_12,2026-06-28
L00418,INVENTORY,DELETE,user_5,2026-06-9
L00419,PARTS,CREATE,user_9,2026-06-15
L00420,INVENTORY,CREATE,user_19,2026-06-8
L00421,BOM,CREATE,user_7,2026-06-16
L00422,BOM,CREATE,user_19,2026-06-22
L00423,BOM,DELETE,user_8,2026-06-27
L00424,PARTS,DELETE,user_8,2026-06-18
L00425,BOM,CREATE,user_1,2026-06-21
L00426,PARTS,UPDATE,user_8,2026-06-9
L00427,INVENTORY,DELETE,user_3,2026-06-1
L00428,INVENTORY,CREATE,user_15,2026-06-18
L00429,INVENTORY,UPDATE,user_8,2026-06-21
L00430,BOM,DELETE,user_3,2026-06-25
L00431,INVENTORY,DELETE,user_16,2026-06-19
L00432,BOM,DELETE,user_4,2026-06-8
L00433,INVENTORY,UPDATE,user_13,2026-06-13
L00434,PARTS,CREATE,user_16,2026-06-17
L00435,INVENTORY,UPDATE,user_6,2026-06-12
L00436,PARTS,UPDATE,user_2,2026-06-27
L00437,INVENTORY,DELETE,user_20,2026-06-18
L00438,PARTS,DELETE,user_2,2026-06-3
L00439,INVENTORY,UPDATE,user_12,2026-06-19
L00440,INVENTORY,CREATE,user_20,2026-06-20
L00441,BOM,UPDATE,user_7,2026-06-30
L00442,BOM,CREATE,user_15,2026-06-27
L00443,INVENTORY,UPDATE,user_3,2026-06-13
L00444,PARTS,CREATE,user_11,2026-06-21
L00445,INVENTORY,DELETE,user_9,2026-06-28
L00446,PARTS,CREATE,user_20,2026-06-29
L00447,BOM,UPDATE,user_14,2026-06-5
L00448,PARTS,DELETE,user_3,2026-06-22
L00449,BOM,UPDATE,user_16,2026-06-28
L00450,PARTS,UPDATE,user_6,2026-06-11
L00451,INVENTORY,CREATE,user_20,2026-06-27
L00452,INVENTORY,UPDATE,user_20,2026-06-29
L00453,BOM,UPDATE,user_10,2026-06-24
L00454,BOM,UPDATE,user_13,2026-06-13
L00455,BOM,UPDATE,user_4,2026-06-6
L00456,PARTS,UPDATE,user_1,2026-06-22
L00457,INVENTORY,CREATE,user_6,2026-06-15
L00458,INVENTORY,CREATE,user_5,2026-06-29
L00459,BOM,DELETE,user_2,2026-06-15
L00460,INVENTORY,DELETE,user_12,2026-06-23
L00461,BOM,CREATE,user_19,2026-06-5
L00462,BOM,DELETE,user_19,2026-06-26
L00463,PARTS,UPDATE,user_17,2026-06-9
L00464,INVENTORY,DELETE,user_19,2026-06-12
L00465,PARTS,UPDATE,user_14,2026-06-7
L00466,BOM,DELETE,user_7,2026-06-10
L00467,PARTS,DELETE,user_13,2026-06-10
L00468,BOM,DELETE,user_2,2026-06-1
L00469,PARTS,CREATE,user_7,2026-06-27
L00470,INVENTORY,CREATE,user_18,2026-06-14
L00471,PARTS,DELETE,user_13,2026-06-10
L00472,PARTS,DELETE,user_9,2026-06-19
L00473,PARTS,DELETE,user_19,2026-06-7
L00474,PARTS,CREATE,user_12,2026-06-17
L00475,INVENTORY,CREATE,user_16,2026-06-6
L00476,INVENTORY,UPDATE,user_20,2026-06-23
L00477,BOM,CREATE,user_17,2026-06-26
L00478,BOM,UPDATE,user_1,2026-06-4
L00479,INVENTORY,UPDATE,user_18,2026-06-30
L00480,PARTS,UPDATE,user_7,2026-06-13
L00481,BOM,CREATE,user_1,2026-06-10
L00482,PARTS,CREATE,user_8,2026-06-5
L00483,INVENTORY,UPDATE,user_20,2026-06-5
L00484,INVENTORY,UPDATE,user_6,2026-06-14
L00485,BOM,DELETE,user_17,2026-06-29
L00486,PARTS,DELETE,user_10,2026-06-6
L00487,PARTS,DELETE,user_20,2026-06-13
L00488,INVENTORY,CREATE,user_14,2026-06-30
L00489,PARTS,CREATE,user_3,2026-06-12
L00490,INVENTORY,UPDATE,user_20,2026-06-30
L00491,INVENTORY,CREATE,user_11,2026-06-19
L00492,INVENTORY,CREATE,user_15,2026-06-16
L00493,INVENTORY,UPDATE,user_6,2026-06-17
L00494,BOM,DELETE,user_8,2026-06-17
L00495,BOM,UPDATE,user_13,2026-06-10
L00496,PARTS,UPDATE,user_6,2026-06-9
L00497,INVENTORY,DELETE,user_5,2026-06-13
L00498,BOM,UPDATE,user_16,2026-06-15
L00499,PARTS,DELETE,user_18,2026-06-15
L00500,PARTS,CREATE,user_17,2026-06-19
L00501,BOM,CREATE,user_16,2026-06-13
L00502,INVENTORY,CREATE,user_7,2026-06-16
L00503,INVENTORY,CREATE,user_12,2026-06-21
L00504,INVENTORY,DELETE,user_14,2026-06-3
L00505,BOM,CREATE,user_15,2026-06-16
L00506,BOM,CREATE,user_20,2026-06-15
L00507,INVENTORY,UPDATE,user_2,2026-06-14
L00508,BOM,DELETE,user_4,2026-06-2
L00509,INVENTORY,DELETE,user_8,2026-06-2
L00510,PARTS,UPDATE,user_13,2026-06-13
L00511,PARTS,UPDATE,user_20,2026-06-17
L00512,INVENTORY,DELETE,user_5,2026-06-21
L00513,PARTS,DELETE,user_20,2026-06-25
L00514,INVENTORY,CREATE,user_10,2026-06-18
L00515,PARTS,UPDATE,user_8,2026-06-17
L00516,INVENTORY,UPDATE,user_15,2026-06-19
L00517,BOM,DELETE,user_8,2026-06-28
L00518,BOM,CREATE,user_19,2026-06-17
L00519,BOM,DELETE,user_3,2026-06-5
L00520,BOM,UPDATE,user_14,2026-06-19
L00521,INVENTORY,UPDATE,user_8,2026-06-28
L00522,PARTS,DELETE,user_12,2026-06-30
L00523,PARTS,UPDATE,user_18,2026-06-14
L00524,PARTS,DELETE,user_18,2026-06-9
L00525,BOM,DELETE,user_12,2026-06-29
L00526,INVENTORY,CREATE,user_7,2026-06-8
L00527,INVENTORY,CREATE,user_7,2026-06-30
L00528,PARTS,UPDATE,user_3,2026-06-4
L00529,INVENTORY,DELETE,user_5,2026-06-26
L00530,INVENTORY,UPDATE,user_1,2026-06-2
L00531,BOM,DELETE,user_12,2026-06-8
L00532,PARTS,DELETE,user_13,2026-06-18
L00533,INVENTORY,UPDATE,user_2,2026-06-3
L00534,INVENTORY,UPDATE,user_1,2026-06-2
L00535,PARTS,UPDATE,user_4,2026-06-6
L00536,PARTS,CREATE,user_17,2026-06-23
L00537,INVENTORY,DELETE,user_7,2026-06-9
L00538,BOM,DELETE,user_19,2026-06-18
L00539,PARTS,UPDATE,user_1,2026-06-23
L00540,INVENTORY,UPDATE,user_19,2026-06-3
L00541,BOM,UPDATE,user_2,2026-06-28
L00542,INVENTORY,CREATE,user_8,2026-06-22
