wo_id,product,qty,status
WO00204,P0030,50,IN_PROGRESS
WO00205,P0008,47,OPEN
WO00206,P0171,31,OPEN
WO00207,P0457,43,IN_PROGRESS
WO00208,P0319,48,COMPLETED
WO00209,P0063,41,OPEN
WO00210,P0172,27,IN_PROGRESS
WO00211,P0274,28,OPEN
WO00212,P0294,31,COMPLETED
WO00213,P0014,1,IN_PROGRESS
WO00214,P0464,43,FAILED
WO00215,P0025,2,COMPLETED
WO00216,P0355,34,FAILED
WO00217,P0348,46,IN_PROGRESS
WO00218,P0128,1,FAILED
WO00219,P0330,28,OPEN
WO00220,P0225,15,IN_PROGRESS
WO00221,P0409,25,OPEN
WO00222,P0006,49,OPEN
WO00223,P0108,17,IN_PROGRESS
WO00224,P0174,16,COMPLETED
WO00225,P0209,48,IN_PROGRESS
WO00226,P0441,28,IN_PROGRESS
WO00227,P0081,18,FAILED
WO00228,P0312,33,IN_PROGRESS
WO00229,P0351,16,OPEN
WO00230,P0126,6,COMPLETED
WO00231,P0067,12,IN_PROGRESS
WO00232,P0031,24,COMPLETED
WO00233,P0094,6,COMPLETED
WO00234,P0274,29,COMPLETED
WO00235,P0101,12,COMPLETED
WO00236,P0276,36,COMPLETED
WO00237,P0244,9,COMPLETED
WO00238,P0031,17,COMPLETED
WO00239,P0275,13,OPEN
WO00240,P0069,16,OPEN
WO00241,P0304,17,FAILED
WO00242,P0361,7,IN_PROGRESS
WO00243,P0480,39,OPEN
WO00244,P0227,13,FAILED
WO00245,P0448,27,FAILED
WO00246,P0054,47,FAILED
WO00247,P0054,23,IN_PROGRESS
WO00248,P0275,32,FAILED
WO00249,P0400,4,IN_PROGRESS
WO00250,P0205,46,IN_PROGRESS
WO00251,P0093,39,FAILED
WO00252,P0042,34,COMPLETED
WO00253,P0015,48,OPEN
WO00254,P0484,23,COMPLETED
WO00255,P0383,36,OPEN
WO00256,P0249,8,COMPLETED
WO00257,P0150,8,FAILED
WO00258,P0147,14,FAILED
WO00259,P0297,14,IN_PROGRESS
WO00260,P0442,10,IN_PROGRESS
WO00261,P0185,48,FAILED
WO00262,P0093,7,IN_PROGRESS
WO00263,P0396,14,IN_PROGRESS
WO00264,P0453,36,COMPLETED
WO00265,P0407,50,OPEN
WO00266,P0038,49,IN_PROGRESS
WO00267,P0012,15,OPEN
WO00268,P0327,7,FAILED
WO00269,P0115,12,COMPLETED
WO00270,P0129,1,COMPLETED
WO00271,P0106,35,OPEN
WO00272,P0052,37,FAILED
WO00273,P0156,23,COMPLETED
WO00274,P0026,5,FAILED
WO00275,P0317,4,FAILED
WO00276,P0120,7,IN_PROGRESS
WO00277,P0222,27,COMPLETED
WO00278,P0053,29,COMPLETED
WO00279,P0029,39,COMPLETED
WO00280,P0442,19,OPEN
WO00281,P0154,7,COMPLETED
WO00282,P0166,29,OPEN
WO00283,P0280,23,OPEN
WO00284,P0247,24,IN_PROGRESS
WO00285,P0183,18,IN_PROGRESS
WO00286,P0118,43,IN_PROGRESS
WO00287,P0128,12,OPEN
WO00288,P0002,9,IN_PROGRESS
WO00289,P0465,22,COMPLETED
WO00290,P0160,28,OPEN
WO00291,P0383,40,COMPLETED
WO00292,P0148,3,COMPLETED
WO00293,P0456,44,OPEN
WO00294,P0136,6,IN_PROGRESS
WO00295,P0159,21,IN_PROGRESS
WO00296,P0499,8,OPEN
WO00297,P0351,43,OPEN
WO00298,P0485,46,IN_PROGRESS
WO00299,P0337,45,OPEN
WO00300,P0361,2,FAILED
WO00301,P0483,36,FAILED
WO00302,P0026,45,COMPLETED
WO00303,P0499,10,COMPLETED
WO00304,P0387,47,IN_PROGRESS
WO00305,P0394,4,COMPLETED
WO00306,P0246,40,OPEN
WO00307,P0168,25,OPEN
WO00308,P0149,43,FAILED
WO00309,P0231,31,OPEN
WO00310,P0101,47,IN_PROGRESS
WO00311,P0142,36,FAILED
WO00312,P0295,45,FAILED
WO00313,P0293,35,IN_PROGRESS
WO00314,P0207,25,IN_PROGRESS
WO00315,P0434,9,OPEN
WO00316,P0267,10,IN_PROGRESS
WO00317,P0371,45,FAILED
WO00318,P0247,36,OPEN
WO00319,P0338,16,IN_PROGRESS
WO00320,P0285,15,FAILED
WO00321,P0128,20,FAILED
WO00322,P0443,43,OPEN
WO00323,P0239,35,FAILED
WO00324,P0130,35,FAILED
WO00325,P0134,20,COMPLETED
WO00326,P0024,50,COMPLETED
WO00327,P0074,7,IN_PROGRESS
WO00328,P0073,22,OPEN
WO00329,P0195,37,IN_PROGRESS
WO00330,P0346,43,FAILED
WO00331,P0148,25,COMPLETED
WO00332,P0490,3,OPEN
WO00333,P0228,35,OPEN
WO00334,P0401,25,IN_PROGRESS
WO00335,P0332,4,IN_PROGRESS
WO00336,P0383,32,OPEN
WO00337,P0478,35,IN_PROGRESS
WO00338,P0416,16,FAILED
WO00339,P0025,4,COMPLETED
WO00340,P0418,40,OPEN
WO00341,P0256,17,IN_PROGRESS
WO00342,P0011,33,OPEN
WO00343,P0139,14,COMPLETED
WO00344,P0164,50,COMPLETED
WO00345,P0193,2,COMPLETED
WO00346,P0490,48,COMPLETED
WO00347,P0165,18,OPEN
WO00348,P0091,33,COMPLETED
WO00349,P0404,48,FAILED
WO00350,P0249,24,COMPLETED
WO00351,P0015,29,COMPLETED
WO00352,P0127,13,OPEN
WO00353,P0370,27,OPEN
WO00354,P0089,9,IN_PROGRESS
WO00355,P0159,20,FAILED
WO00356,P0062,9,OPEN
WO00357,P0229,45,COMPLETED
WO00358,P0423,25,IN_PROGRESS
WO00359,P0219,24,IN_PROGRESS
WO00360,P0375,38,IN_PROGRESS
WO00361,P0135,28,FAILED
WO00362,P0303,50,COMPLETED
WO00363,P0042,48,IN_PROGRESS
WO00364,P0354,48,FAILED
WO00365,P0201,10,COMPLETED
WO00366,P0489,15,IN_PROGRESS
WO00367,P0292,13,OPEN
WO00368,P0061,41,OPEN
WO00369,P0267,10,IN_PROGRESS
WO00370,P0080,3,FAILED
WO00371,P0104,38,IN_PROGRESS
WO00372,P0049,29,COMPLETED
WO00373,P0319,43,OPEN
WO00374,P0479,42,COMPLETED
WO00375,P0477,22,OPEN
WO00376,P0235,24,OPEN
WO00377,P0196,7,FAILED
WO00378,P0195,10,IN_PROGRESS
WO00379,P0037,36,COMPLETED
WO00380,P0004,49,COMPLETED
WO00381,P0115,9,FAILED
WO00382,P0402,26,FAILED
WO00383,P0088,39,FAILED
WO00384,P0017,22,OPEN
WO00385,P0020,26,OPEN
WO00386,P0495,22,COMPLETED
WO00387,P0165,26,COMPLETED
WO00388,P0208,21,FAILED
WO00389,P0221,18,FAILED
WO00390,P0078,21,FAILED
WO00391,P0280,31,IN_PROGRESS
WO00392,P0061,32,FAILED
WO00393,P0423,37,IN_PROGRESS
WO00394,P0249,46,FAILED
WO00395,P0382,31,OPEN
WO00396,P0186,42,FAILED
WO00397,P0078,10,FAILED
WO00398,P0021,25,OPEN
WO00399,P0320,2,FAILED
WO00400,P0444,28,COMPLETED
WO00401,P0095,28,COMPLETED
WO00402,P0174,19,OPEN
WO00403,P0415,1,OPEN
WO00404,P0064,10,FAILED
WO00405,P0342,33,COMPLETED
WO00406,P0285,2,COMPLETED
WO00407,P0245,34,FAILED
WO00408,P0272,24,IN_PROGRESS
WO00409,P0204,25,IN_PROGRESS
WO00410,P0116,26,COMPLETED
WO00411,P0076,32,OPEN
WO00412,P0253,38,IN_PROGRESS
WO00413,P0050,22,COMPLETED
WO00414,P0028,9,FAILED
WO00415,P0494,17,OPEN
WO00416,P0495,42,IN_PROGRESS
WO00417,P0090,28,IN_PROGRESS
WO00418,P0182,8,OPEN
WO00419,P0227,17,FAILED
WO00420,P0268,5,FAILED
WO00421,P0454,10,OPEN
WO00422,P0079,27,IN_PROGRESS
WO00423,P0378,21,FAILED
WO00424,P0434,14,COMPLETED
WO00425,P0347,33,IN_PROGRESS
WO00426,P0467,49,OPEN
WO00427,P0358,42,COMPLETED
WO00428,P0433,17,IN_PROGRESS
WO00429,P0254,16,COMPLETED
WO00430,P0138,38,IN_PROGRESS
WO00431,P0192,19,IN_PROGRESS
WO00432,P0042,28,OPEN
WO00433,P0004,5,OPEN
WO00434,P0231,34,IN_PROGRESS
WO00435,P0167,26,OPEN
WO00436,P0131,6,IN_PROGRESS
WO00437,P0155,30,OPEN
WO00438,P0220,6,FAILED
WO00439,P0002,18,FAILED
WO00440,P0140,23,COMPLETED
WO00441,P0257,38,OPEN
WO00442,P0078,12,OPEN
WO00443,P0304,32,IN_PROGRESS
WO00444,P0420,42,OPEN
WO00445,P0039,36,OPEN
WO00446,P0300,35,OPEN
WO00447,P0076,34,IN_PROGRESS
WO00448,P0178,4,COMPLETED
WO00449,P0449,21,FAILED
WO00450,P0433,22,OPEN
WO00451,P0078,29,OPEN
WO00452,P0498,10,COMPLETED
WO00453,P0056,40,FAILED
WO00454,P0421,29,IN_PROGRESS
WO00455,P0273,34,IN_PROGRESS
WO00456,P0292,28,IN_PROGRESS
WO00457,P0432,45,COMPLETED
WO00458,P0162,38,FAILED
WO00459,P0383,14,FAILED
WO00460,P0458,47,IN_PROGRESS
WO00461,P0207,6,OPEN
WO00462,P0008,48,FAILED
WO00463,P0122,33,IN_PROGRESS
WO00464,P0024,31,OPEN
WO00465,P0446,35,COMPLETED
WO00466,P0444,16,OPEN
WO00467,P0479,43,OPEN
WO00468,P0378,36,FAILED
WO00469,P0483,1,COMPLETED
WO00470,P0489,50,COMPLETED
WO00471,P0005,9,FAILED
WO00472,P0256,10,COMPLETED
WO00473,P0219,37,COMPLETED
WO00474,P0266,21,COMPLETED
WO00475,P0420,26,COMPLETED
WO00476,P0010,15,OPEN
WO00477,P0097,30,OPEN
WO00478,P0478,33,FAILED
WO00479,P0104,3,OPEN
WO00480,P0131,2,FAILED
WO00481,P0223,28,OPEN
WO00482,P0019,13,OPEN
WO00483,P0260,30,OPEN
WO00484,P0005,30,IN_PROGRESS
WO00485,P0497,15,FAILED
WO00486,P0445,45,IN_PROGRESS
WO00487,P0276,24,OPEN
WO00488,P0003,20,FAILED
WO00489,P0019,9,IN_PROGRESS
WO00490,P0020,4,IN_PROGRESS
WO00491,P0082,2,FAILED
WO00492,P0459,44,OPEN
WO00493,P0085,17,OPEN
WO00494,P0426,4,IN_PROGRESS
WO00495,P0116,41,IN_PROGRESS
WO00496,P0336,10,FAILED
WO00497,P0178,32,COMPLETED
WO00498,P0186,35,FAILED
WO00499,P0403,50,IN_PROGRESS
WO00500,P0007,46,OPEN
WO00501,P0437,27,OPEN
WO00502,P0380,8,COMPLETED
WO00503,P0179,8,COMPLETED
WO00504,P0226,23,FAILED
WO00505,P0205,6,COMPLETED
WO00506,P0317,5,OPEN
WO00507,P0189,13,COMPLETED
WO00508,P0498,24,COMPLETED
WO00509,P0310,35,COMPLETED
WO00510,P0254,8,COMPLETED
WO00511,P0352,45,IN_PROGRESS
WO00512,P0370,12,FAILED
WO00513,P0071,22,IN_PROGRESS
WO00514,P0078,26,OPEN
WO00515,P0209,36,IN_PROGRESS
WO00516,P0081,6,IN_PROGRESS
WO00517,P0101,46,FAILED
WO00518,P0161,48,COMPLETED
WO00519,P0277,31,FAILED
WO00520,P0306,22,IN_PROGRESS
WO00521,P0435,46,IN_PROGRESS
WO00522,P0356,42,IN_PROGRESS
WO00523,P0166,7,FAILED
WO00524,P0443,21,IN_PROGRESS
WO00525,P0138,33,FAILED
WO00526,P0358,29,OPEN
WO00527,P0310,19,IN_PROGRESS
WO00528,P0336,27,COMPLETED
WO00529,P0216,8,IN_PROGRESS
WO00530,P0265,33,OPEN
WO00531,P0049,26,COMPLETED
WO00532,P0077,46,FAILED
WO00533,P0316,39,FAILED
WO00534,P0209,29,COMPLETED
WO00535,P0369,23,IN_PROGRESS
WO00536,P0462,8,OPEN
WO00537,P0232,50,FAILED
WO00538,P0423,22,COMPLETED
WO00539,P0469,33,IN_PROGRESS
WO00540,P0473,46,COMPLETED
WO00541,P0153,25,COMPLETED
WO00542,P0112,36,IN_PROGRESS
WO00543,P0371,6,COMPLETED
WO00544,P0175,32,OPEN
WO00545,P0445,29,IN_PROGRESS
WO00546,P0134,33,IN_PROGRESS
WO00547,P0144,48,IN_PROGRESS
WO00548,P0480,22,COMPLETED
WO00549,P0474,13,IN_PROGRESS
WO00550,P0144,4,IN_PROGRESS
WO00551,P0030,29,OPEN
WO00552,P0280,19,OPEN
WO00553,P0409,50,IN_PROGRESS
WO00554,P0010,4,IN_PROGRESS
WO00555,P0224,11,IN_PROGRESS
WO00556,P0384,40,FAILED
WO00557,P0146,2,COMPLETED
WO00558,P0099,8,OPEN
WO00559,P0175,6,FAILED
WO00560,P0445,17,IN_PROGRESS
WO00561,P0180,23,COMPLETED
WO00562,P0141,35,OPEN
WO00563,P0425,15,COMPLETED
WO00564,P0496,13,OPEN
WO00565,P0317,39,COMPLETED
WO00566,P0393,18,COMPLETED
WO00567,P0496,36,COMPLETED
WO00568,P0236,32,IN_PROGRESS
WO00569,P0481,11,FAILED
WO00570,P0034,27,FAILED
WO00571,P0246,25,IN_PROGRESS
WO00572,P0393,29,FAILED
WO00573,P0416,40,OPEN
WO00574,P0427,4,IN_PROGRESS
WO00575,P0063,39,OPEN
WO00576,P0156,34,COMPLETED
WO00577,P0253,7,COMPLETED
WO00578,P0052,35,COMPLETED
WO00579,P0317,29,FAILED
WO00580,P0047,41,OPEN
WO00581,P0149,47,OPEN
WO00582,P0312,37,IN_PROGRESS
WO00583,P0472,2,FAILED
WO00584,P0296,46,COMPLETED
WO00585,P0415,8,IN_PROGRESS
WO00586,P0109,44,FAILED
WO00587,P0014,22,FAILED
WO00588,P0481,17,COMPLETED
WO00589,P0483,30,IN_PROGRESS
WO00590,P0450,11,OPEN
WO00591,P0433,33,IN_PROGRESS
WO00592,P0022,6,COMPLETED
WO00593,P0185,31,IN_PROGRESS
WO00594,P0066,46,FAILED
WO00595,P0059,17,IN_PROGRESS
WO00596,P0366,40,FAILED
WO00597,P0450,26,OPEN
WO00598,P0457,3,COMPLETED
WO00599,P0115,50,FAILED
WO00600,P0061,6,COMPLETED
WO00601,P0310,41,OPEN
WO00602,P0219,33,FAILED
WO00603,P0157,34,FAILED
WO00604,P0262,21,IN_PROGRESS
WO00605,P0046,17,FAILED
WO00606,P0480,45,FAILED
WO00607,P0159,15,OPEN
WO00608,P0398,6,FAILED
WO00609,P0040,15,COMPLETED
WO00610,P0252,48,COMPLETED
WO00611,P0269,33,IN_PROGRESS
WO00612,P0238,43,FAILED
WO00613,P0225,43,OPEN
WO00614,P0200,42,FAILED
WO00615,P0310,26,COMPLETED
WO00616,P0460,33,OPEN
WO00617,P0244,28,FAILED
WO00618,P0098,49,OPEN
WO00619,P0027,32,IN_PROGRESS
WO00620,P0107,6,IN_PROGRESS
WO00621,P0308,23,COMPLETED
WO00622,P0245,42,COMPLETED
WO00623,P0063,6,COMPLETED
WO00624,P0299,25,FAILED
WO00625,P0129,39,OPEN
WO00626,P0268,39,COMPLETED
WO00627,P0305,37,IN_PROGRESS
WO00628,P0318,27,FAILED
WO00629,P0288,43,OPEN
WO00630,P0005,16,OPEN
WO00631,P0226,10,COMPLETED
WO00632,P0355,26,COMPLETED
WO00633,P0295,29,FAILED
WO00634,P0081,18,COMPLETED
WO00635,P0449,24,COMPLETED
WO00636,P0353,40,OPEN
WO00637,P0300,34,FAILED
WO00638,P0018,11,FAILED
WO00639,P0063,8,IN_PROGRESS
WO00640,P0235,11,IN_PROGRESS
WO00641,P0283,11,COMPLETED
WO00642,P0119,36,COMPLETED
WO00643,P0230,44,IN_PROGRESS
WO00644,P0271,7,IN_PROGRESS
WO00645,P0191,11,COMPLETED
WO00646,P0477,40,FAILED
WO00647,P0208,15,FAILED
WO00648,P0212,3,OPEN
WO00649,P0109,24,OPEN
WO00650,P0314,17,IN_PROGRESS
WO00651,P0366,24,OPEN
WO00652,P0415,21,OPEN
WO00653,P0341,50,IN_PROGRESS
WO00654,P0490,49,OPEN
WO00655,P0376,46,OPEN
WO00656,P0344,19,FAILED
WO00657,P0353,18,FAILED
WO00658,P0428,46,COMPLETED
WO00659,P0340,40,FAILED
WO00660,P0203,23,IN_PROGRESS
WO00661,P0319,46,COMPLETED
WO00662,P0183,29,IN_PROGRESS
WO00663,P0358,1,FAILED
WO00664,P0268,39,FAILED
WO00665,P0013,11,FAILED
WO00666,P0418,18,COMPLETED
WO00667,P0500,42,COMPLETED
WO00668,P0377,46,IN_PROGRESS
WO00669,P0004,19,COMPLETED
WO00670,P0368,6,OPEN
WO00671,P0008,6,OPEN
WO00672,P0185,22,FAILED
WO00673,P0023,8,FAILED
WO00674,P0356,38,FAILED
WO00675,P0016,9,OPEN
WO00676,P0378,25,COMPLETED
WO00677,P0101,43,IN_PROGRESS
WO00678,P0035,25,COMPLETED
WO00679,P0060,6,IN_PROGRESS
WO00680,P0456,6,FAILED
WO00681,P0146,39,OPEN
WO00682,P0080,32,OPEN
WO00683,P0084,9,OPEN
WO00684,P0273,16,OPEN
WO00685,P0341,29,IN_PROGRESS
WO00686,P0319,38,FAILED
WO00687,P0299,32,OPEN
WO00688,P0242,29,COMPLETED
WO00689,P0159,31,OPEN
WO00690,P0428,20,FAILED
WO00691,P0232,27,OPEN
WO00692,P0284,34,IN_PROGRESS
WO00693,P0335,9,FAILED
WO00694,P0072,19,FAILED
WO00695,P0417,14,IN_PROGRESS
WO00696,P0302,3,OPEN
WO00697,P0295,35,OPEN
WO00698,P0044,22,FAILED
WO00699,P0342,18,OPEN
WO00700,P0286,7,IN_PROGRESS
WO00701,P0491,19,OPEN
WO00702,P0025,39,COMPLETED
WO00703,P0091,9,COMPLETED
WO00704,P0100,19,COMPLETED
WO00705,P0149,29,FAILED
WO00706,P0180,1,FAILED
WO00707,P0181,16,FAILED
WO00708,P0365,19,FAILED
WO00709,P0110,40,FAILED
WO00710,P0012,10,FAILED
WO00711,P0084,23,COMPLETED
WO00712,P0100,42,COMPLETED
WO00713,P0420,48,COMPLETED
WO00714,P0239,39,IN_PROGRESS
WO00715,P0161,15,FAILED
WO00716,P0072,34,COMPLETED
WO00717,P0261,46,COMPLETED
WO00718,P0139,39,IN_PROGRESS
WO00719,P0126,13,FAILED
WO00720,P0231,23,FAILED
WO00721,P0225,40,COMPLETED
WO00722,P0197,35,OPEN
WO00723,P0417,7,OPEN
WO00724,P0098,45,IN_PROGRESS
WO00725,P0283,6,COMPLETED
WO00726,P0217,35,IN_PROGRESS
WO00727,P0211,23,OPEN
WO00728,P0175,33,COMPLETED
WO00729,P0401,40,OPEN
WO00730,P0327,25,IN_PROGRESS
WO00731,P0476,32,COMPLETED
WO00732,P0087,24,COMPLETED
WO00733,P0336,10,COMPLETED
WO00734,P0090,49,OPEN
WO00735,P0281,13,COMPLETED
WO00736,P0156,17,FAILED
WO00737,P0194,26,FAILED
WO00738,P0131,41,COMPLETED
WO00739,P0387,10,COMPLETED
WO00740,P0445,21,COMPLETED
WO00741,P0419,50,FAILED
WO00742,P0343,23,IN_PROGRESS
WO00743,P0065,18,FAILED
WO00744,P0424,10,FAILED
WO00745,P0045,23,COMPLETED
WO00746,P0235,48,OPEN
WO00747,P0021,42,COMPLETED
WO00748,P0292,43,FAILED
WO00749,P0475,15,FAILED
WO00750,P0148,7,IN_PROGRESS
WO00751,P0020,43,COMPLETED
WO00752,P0489,2,IN_PROGRESS
WO00753,P0365,34,COMPLETED
WO00754,P0375,24,COMPLETED
WO00755,P0499,5,OPEN
WO00756,P0475,6,FAILED
WO00757,P0011,41,COMPLETED
WO00758,P0305,43,OPEN
WO00759,P0426,4,COMPLETED
WO00760,P0155,50,IN_PROGRESS
WO00761,P0195,17,FAILED
WO00762,P0080,6,FAILED
WO00763,P0181,48,IN_PROGRESS
WO00764,P0410,9,FAILED
WO00765,P0468,22,FAILED
WO00766,P0438,9,OPEN
WO00767,P0219,43,FAILED
WO00768,P0230,42,IN_PROGRESS
WO00769,P0412,24,OPEN
WO00770,P0391,40,COMPLETED
WO00771,P0127,31,FAILED
WO00772,P0471,39,FAILED
WO00773,P0044,45,COMPLETED
WO00774,P0423,13,FAILED
WO00775,P0383,38,FAILED
WO00776,P0483,23,COMPLETED
WO00777,P0272,7,FAILED
WO00778,P0111,26,OPEN
WO00779,P0137,16,OPEN
WO00780,P0428,21,COMPLETED
WO00781,P0382,49,IN_PROGRESS
WO00782,P0052,40,IN_PROGRESS
WO00783,P0312,11,FAILED
WO00784,P0443,23,FAILED
WO00785,P0471,12,IN_PROGRESS
