part_id,name,type
P0380,Part_380,component
P0381,,component
P0382,Part_382,assembly
P0383,Part_383,assembly
P0384,Part_384,component
P0385,Part_385,component
P0386,Part_386,component
P0387,Part_387,assembly
P0388,Part_388,assembly
P0389,Part_389,component
P0390,Part_390,component
P0391,Part_391,component
P0392,Part_392,component
P0393,Part_393,assembly
P0394,Part_394,assembly
P0395,Part_395,component
P0396,Part_396,component
P0397,Part_397,assembly
P0398,,component
P0399,Part_399,assembly
P0400,Part_400,component
P0401,Part_401,component
P0402,Part_402,assembly
P0403,Part_403,assembly
P0404,Part_404,component
P0405,Part_405,component
P0406,Part_406,assembly
P0407,Part_407,assembly
P0408,Part_408,component
P0409,,assembly
P0410,Part_410,assembly
P0411,Part_411,component
P0412,Part_412,assembly
P0413,Part_413,assembly
P0414,Part_414,assembly
P0415,Part_415,assembly
P0416,Part_416,assembly
P0417,Part_417,assembly
P0418,Part_418,assembly
P0419,Part_419,assembly
P0420,Part_420,component
P0421,Part_421,component
P0422,Part_422,component
P0423,Part_423,component
P0424,Part_424,component
P0425,Part_425,assembly
P0426,Part_426,component
P0427,Part_427,component
P0428,Part_428,component
P0429,Part_429,assembly
P0430,Part_430,assembly
P0431,Part_431,component
P0432,Part_432,component
P0433,Part_433,assembly
P0434,Part_434,assembly
P0435,Part_435,assembly
P0436,Part_436,component
P0437,Part_437,assembly
P0438,Part_438,assembly
P0439,Part_439,assembly
P0440,Part_440,component
P0441,Part_441,assembly
P0442,,component
P0443,Part_443,assembly
P0444,Part_444,assembly
P0445,Part_445,component
P0446,Part_446,component
P0447,Part_447,component
P0448,Part_448,component
P0449,Part_449,component
P0450,Part_450,component
P0451,Part_451,assembly
P0452,Part_452,component
P0453,Part_453,assembly
P0454,Part_454,assembly
P0455,Part_455,component
P0456,Part_456,component
P0457,Part_457,assembly
P0458,Part_458,assembly
P0459,Part_459,assembly
P0460,Part_460,component
P0461,Part_461,component
P0462,Part_462,component
P0463,Part_463,assembly
P0464,,assembly
P0465,Part_465,component
P0466,Part_466,assembly
P0467,Part_467,component
P0468,Part_468,assembly
P0469,Part_469,assembly
P0470,Part_470,component
P0471,Part_471,component
P0472,Part_472,assembly
P0473,Part_473,component
P0474,Part_474,component
P0475,Part_475,component
P0476,Part_476,component
P0477,Part_477,component
P0478,Part_478,assembly
P0479,Part_479,component
P0480,Part_480,assembly
P0481,Part_481,component
P0482,Part_482,assembly
P0483,Part_483,assembly
P0484,Part_484,component
P0485,Part_485,component
P0486,Part_486,assembly
P0487,Part_487,component
P0488,Part_488,component
P0489,Part_489,assembly
P0490,Part_490,component
P0491,Part_491,component
P0492,Part_492,assembly
P0493,Part_493,assembly
P0494,Part_494,component
P0495,Part_495,component
P0496,,component
P0497,Part_497,component
P0498,Part_498,assembly
P0499,Part_499,component
P0500,Part_500,assembly
