parent,component,qty
P0161,P0247,0
P0161,P0498,3
P0161,P0216,4
P0161,P0133,1
P0161,P0180,4
P0161,P0171,2
P0152,P0139,5
P0152,P0131,3
P0152,P0140,1
P0152,P0364,1
P0152,P0088,4
P0152,P0043,3
P0152,P0260,1
P0484,P0004,2
P0484,P0073,4
P0484,P0326,3
P0484,P0436,3
P0333,P0402,4
P0333,P0344,5
P0333,P0211,3
P0333,P0029,3
P0333,P0238,5
P0333,P0171,4
P0333,P0364,1
P0112,P0376,5
P0112,P0014,3
P0112,P0347,3
P0112,P0018,4
P0112,P0112,1
P0112,P0289,3
P0196,P0402,3
P0196,P0184,3
P0196,P0422,2
P0196,P0494,5
P0196,P0200,4
P0196,P0228,3
P0066,P0050,2
P0066,P0381,1
P0066,P0418,1
P0066,P0290,3
P0066,P0416,1
P0066,P0418,4
P0066,P0436,4
P0066,P0082,1
P0082,P0261,0
P0082,P0016,1
P0082,P0302,2
P0082,P0149,4
P0082,P0101,4
P0405,P0070,4
P0405,P0287,3
P0405,P0255,2
P0405,P0391,0
P0405,P0366,5
P0405,P0022,2
P0405,P0326,3
P0405,P0047,5
P0009,P0149,4
P0009,P0403,4
P0009,P0111,2
P0009,P0248,5
P0009,P0268,4
P0009,P0239,1
P0009,P0173,4
P0009,P0469,2
P0102,P0099,5
P0102,P0128,5
P0102,P0446,5
P0102,P0135,3
P0102,P0418,3
P0102,P0124,4
P0102,P0414,3
P0342,P0453,0
P0342,P0344,1
P0342,P0167,4
P0342,P0378,5
P0342,P0454,4
P0342,P0300,2
P0342,P0333,1
P0350,P0429,5
P0350,P0156,0
P0350,P0236,4
P0350,P0343,5
P0350,P0143,4
P0350,P0346,4
P0378,P0311,1
P0378,P0487,5
P0378,P0395,1
P0378,P0046,5
P0378,P0327,2
P0051,P0170,2
P0051,P0484,3
P0051,P0273,0
P0330,P0110,5
P0330,P0392,2
P0330,P0161,4
P0270,P0233,4
P0270,P0228,4
P0270,P0295,4
P0270,P0410,0
P0270,P0449,0
P0270,P0333,3
P0270,P0426,4
P0270,P0285,4
P0411,P0071,3
P0411,P0109,0
P0411,P0194,1
P0411,P0252,2
P0411,P0488,3
P0411,P0401,4
P0289,P0073,1
P0289,P0200,3
P0289,P0340,2
P0289,P0423,4
P0289,P0266,1
P0094,P0043,2
P0094,P0194,2
P0094,P0341,3
P0103,P0034,5
P0103,P0184,3
P0103,P0140,0
P0103,P0149,5
P0219,P0474,1
P0219,P0020,4
P0219,P0249,5
P0458,P0354,5
P0458,P0190,0
P0458,P0339,2
P0458,P0077,2
P0458,P0435,5
P0458,P0252,3
P0128,P0399,3
P0128,P0241,4
P0128,P0303,3
P0128,P0201,1
P0128,P0215,1
P0128,P0250,5
P0128,P0156,5
P0401,P0201,4
P0401,P0171,4
P0401,P0393,5
P0401,P0364,3
P0401,P0396,5
P0401,P0298,3
P0401,P0472,3
P0401,P0206,2
P0463,P0190,5
P0463,P0254,2
P0463,P0009,2
P0463,P0085,3
P0075,P0055,5
P0075,P0362,3
P0075,P0074,3
P0075,P0067,1
P0075,P0416,2
P0075,P0155,5
P0075,P0222,2
P0075,P0088,1
P0456,P0379,2
P0456,P0373,4
P0456,P0385,5
P0456,P0018,1
P0456,P0251,3
P0456,P0245,1
P0098,P0020,4
P0098,P0485,4
P0098,P0216,0
P0098,P0211,5
P0098,P0299,1
P0098,P0408,3
P0445,P0445,1
P0445,P0290,2
P0445,P0187,2
P0445,P0440,4
P0445,P0054,4
P0445,P0492,4
P0445,P0437,3
P0445,P0450,4
P0443,P0332,2
P0443,P0143,2
P0443,P0355,3
P0443,P0247,5
P0443,P0211,5
P0443,P0500,0
P0443,P0399,1
P0279,P0295,4
P0279,P0398,4
P0279,P0480,0
P0279,P0443,3
P0276,P0020,4
P0276,P0448,5
P0276,P0477,2
P0276,P0447,2
P0075,P0098,2
P0075,P0373,5
P0075,P0381,1
P0075,P0296,2
P0075,P0227,5
P0069,P0373,2
P0069,P0025,2
P0069,P0022,4
P0069,P0025,4
P0069,P0494,2
P0069,P0489,2
P0069,P0456,5
P0069,P0027,3
P0341,P0233,5
P0341,P0418,2
P0341,P0295,3
P0341,P0199,4
P0341,P0316,4
P0341,P0279,1
P0005,P0359,3
P0005,P0426,2
P0005,P0312,4
P0005,P0420,2
P0005,P0068,3
P0005,P0180,5
P0005,P0071,3
P0005,P0165,0
P0263,P0157,3
P0263,P0168,5
P0263,P0040,2
P0263,P0154,5
P0263,P0453,5
P0263,P0315,3
P0263,P0323,1
P0300,P0446,1
P0300,P0364,1
P0300,P0377,4
P0300,P0192,4
P0300,P0355,1
P0300,P0354,3
P0300,P0079,4
P0425,P0455,2
P0425,P0185,4
P0425,P0447,4
P0425,P0309,4
P0425,P0034,1
P0425,P0371,0
P0425,P0109,2
P0425,P0404,5
P0041,P0482,1
P0041,P0332,3
P0041,P0286,0
P0041,P0342,5
P0078,P0233,5
P0078,P0292,2
P0078,P0215,3
P0078,P0428,1
P0078,P0315,4
P0259,P0419,3
P0259,P0337,0
P0259,P0445,2
P0259,P0097,4
P0259,P0241,2
P0259,P0264,1
P0259,P0001,4
P0259,P0355,3
P0195,P0108,3
P0195,P0086,4
P0195,P0351,5
P0195,P0410,2
P0195,P0124,2
P0195,P0165,2
P0351,P0058,0
P0351,P0305,1
P0351,P0094,3
P0351,P0230,5
P0126,P0390,2
P0126,P0348,0
P0126,P0023,3
P0126,P0238,2
P0458,P0480,1
P0458,P0183,5
P0458,P0495,0
P0458,P0106,2
P0458,P0013,5
P0400,P0353,5
P0400,P0338,1
P0400,P0360,5
P0400,P0428,0
P0400,P0148,5
P0400,P0465,3
P0400,P0366,0
P0420,P0494,2
P0420,P0389,1
P0420,P0461,3
P0420,P0283,3
P0390,P0025,4
P0390,P0013,0
P0390,P0383,2
P0010,P0262,3
P0010,P0288,1
P0010,P0425,5
P0010,P0436,4
P0010,P0186,5
P0010,P0095,5
P0010,P0184,4
P0009,P0125,5
P0009,P0190,5
P0009,P0253,1
P0009,P0310,0
P0009,P0344,4
P0009,P0174,1
P0059,P0298,3
P0059,P0134,5
P0059,P0365,4
P0237,P0161,2
P0237,P0422,4
P0237,P0380,0
P0237,P0419,2
P0237,P0377,3
P0237,P0499,1
P0237,P0145,5
P0237,P0318,5
P0087,P0306,1
P0087,P0280,3
P0087,P0251,0
P0456,P0254,1
P0456,P0194,4
P0456,P0344,1
P0456,P0186,5
P0456,P0259,5
P0241,P0002,4
P0241,P0330,5
P0241,P0121,5
P0241,P0389,5
P0241,P0478,0
P0241,P0455,1
P0448,P0462,0
P0448,P0454,2
P0448,P0199,0
P0448,P0452,1
P0448,P0450,5
P0393,P0155,3
P0393,P0288,2
P0393,P0277,0
P0404,P0104,3
P0404,P0290,4
P0404,P0134,3
P0393,P0029,1
P0393,P0179,4
P0393,P0162,2
P0393,P0063,2
P0034,P0444,5
P0034,P0384,1
P0034,P0022,4
P0034,P0241,2
P0034,P0428,4
P0034,P0301,2
P0458,P0155,2
P0458,P0109,5
P0458,P0088,0
P0458,P0255,4
P0458,P0297,4
P0123,P0190,2
P0123,P0384,2
P0123,P0187,5
P0123,P0443,5
P0123,P0345,1
P0123,P0311,4
P0123,P0023,5
P0123,P0247,1
P0354,P0485,3
P0354,P0363,1
P0354,P0063,1
P0354,P0292,1
P0146,P0151,3
P0146,P0368,2
P0146,P0122,0
P0146,P0331,4
P0146,P0253,2
P0149,P0368,5
P0149,P0022,5
P0149,P0387,3
P0149,P0169,2
P0149,P0235,4
P0149,P0086,4
P0149,P0355,5
P0149,P0338,2
P0406,P0112,0
P0406,P0367,3
P0406,P0196,2
P0406,P0236,4
P0406,P0086,0
P0406,P0055,1
P0406,P0041,5
P0335,P0026,5
P0335,P0438,1
P0335,P0006,5
P0123,P0119,3
P0123,P0108,1
P0123,P0111,1
P0123,P0446,1
P0123,P0062,5
P0215,P0306,5
P0215,P0471,2
P0215,P0331,4
P0215,P0006,5
P0215,P0353,4
P0215,P0419,4
P0100,P0408,2
P0100,P0408,4
P0100,P0479,4
P0100,P0358,4
P0100,P0102,0
P0100,P0407,2
P0272,P0280,1
P0272,P0311,2
P0272,P0500,2
P0272,P0226,2
P0272,P0129,0
P0272,P0023,1
P0195,P0044,4
P0195,P0447,1
P0195,P0397,1
P0195,P0245,3
P0239,P0476,2
P0239,P0051,5
P0239,P0155,1
P0239,P0149,1
P0239,P0469,4
P0239,P0228,0
P0239,P0285,3
P0298,P0243,0
P0298,P0181,3
P0298,P0357,5
P0298,P0283,4
P0298,P0100,5
P0298,P0466,1
P0298,P0433,2
P0298,P0041,3
P0032,P0148,3
P0032,P0204,1
P0032,P0054,2
P0143,P0490,3
P0143,P0283,1
P0143,P0247,3
P0143,P0172,2
P0143,P0040,5
P0143,P0109,3
P0143,P0119,0
P0143,P0471,1
P0165,P0154,2
P0165,P0248,3
P0165,P0323,2
P0052,P0026,2
P0052,P0229,2
P0052,P0470,2
P0052,P0260,5
P0052,P0133,3
P0373,P0050,4
P0373,P0413,1
P0373,P0291,3
P0373,P0355,4
P0373,P0158,1
P0469,P0138,4
P0469,P0180,2
P0469,P0222,5
P0175,P0075,3
P0175,P0474,4
P0175,P0470,0
P0175,P0060,1
P0175,P0337,2
P0175,P0144,5
P0284,P0135,4
P0284,P0439,1
P0284,P0279,1
P0331,P0307,1
P0331,P0478,3
P0331,P0345,4
P0154,P0073,0
P0154,P0449,4
P0154,P0034,1
P0154,P0280,0
P0154,P0146,0
P0154,P0371,2
P0495,P0040,5
P0495,P0111,0
P0495,P0460,1
P0495,P0409,1
P0495,P0019,1
P0044,P0210,3
P0044,P0500,4
P0044,P0219,5
P0044,P0132,2
P0044,P0335,4
P0044,P0333,1
P0044,P0196,0
P0232,P0231,1
P0232,P0122,4
P0232,P0027,5
P0232,P0474,2
P0188,P0264,2
P0188,P0202,5
P0188,P0422,2
P0188,P0251,4
P0188,P0111,5
P0188,P0084,5
P0412,P0336,3
P0412,P0050,5
P0412,P0010,1
P0483,P0283,4
P0483,P0257,0
P0483,P0132,3
P0483,P0046,1
P0483,P0321,1
P0483,P0394,0
P0331,P0361,3
P0331,P0412,4
P0331,P0168,3
P0331,P0040,0
P0331,P0478,4
P0050,P0353,0
P0050,P0247,5
P0050,P0443,4
P0050,P0334,4
P0050,P0087,3
P0050,P0373,1
P0050,P0400,4
P0208,P0402,5
P0208,P0026,5
P0208,P0077,4
P0208,P0140,1
P0104,P0178,4
P0104,P0298,2
P0104,P0418,2
P0104,P0129,0
P0104,P0401,5
P0104,P0443,4
P0183,P0162,4
P0183,P0232,3
P0183,P0048,2
P0183,P0092,2
P0183,P0493,5
P0183,P0195,1
P0213,P0240,2
P0213,P0011,5
P0213,P0051,0
P0436,P0229,4
P0436,P0290,0
P0436,P0074,5
P0436,P0210,5
P0436,P0409,3
P0173,P0481,5
P0173,P0286,1
P0173,P0223,4
P0173,P0289,1
P0173,P0472,0
P0055,P0375,1
P0055,P0200,4
P0055,P0122,2
P0055,P0020,5
P0051,P0159,2
P0051,P0197,4
P0051,P0147,4
P0051,P0458,4
P0051,P0129,2
P0051,P0004,2
P0051,P0399,2
P0081,P0464,5
P0081,P0162,2
P0081,P0489,0
P0081,P0102,4
P0082,P0318,1
P0082,P0369,4
P0082,P0447,5
P0082,P0477,2
P0209,P0352,5
P0209,P0415,4
P0209,P0044,5
P0209,P0099,0
P0209,P0128,4
P0209,P0461,1
P0209,P0123,5
P0209,P0235,5
P0020,P0246,2
P0020,P0287,4
P0020,P0337,2
P0020,P0361,5
P0020,P0034,1
P0020,P0285,4
P0288,P0047,4
P0288,P0491,5
P0288,P0402,5
P0288,P0324,4
P0288,P0340,4
P0417,P0471,0
P0417,P0220,5
P0417,P0077,2
P0417,P0392,5
P0417,P0074,3
P0417,P0044,4
P0417,P0127,3
P0417,P0262,3
P0001,P0405,3
P0001,P0380,3
P0001,P0412,5
P0001,P0310,1
P0001,P0152,5
P0001,P0473,0
P0081,P0477,2
P0081,P0486,3
P0081,P0293,5
P0081,P0163,1
P0081,P0049,5
P0081,P0248,0
P0081,P0148,2
P0081,P0349,3
P0463,P0462,3
P0463,P0189,4
P0463,P0218,3
P0228,P0357,4
P0228,P0205,3
P0228,P0036,1
P0228,P0083,2
P0228,P0282,3
P0228,P0494,4
P0061,P0264,1
P0061,P0306,3
P0061,P0218,3
P0061,P0283,3
P0061,P0423,3
P0061,P0479,2
P0061,P0432,3
P0485,P0036,2
P0485,P0484,2
P0485,P0361,1
P0194,P0032,2
P0194,P0109,1
P0194,P0268,4
P0194,P0373,0
P0194,P0466,5
P0156,P0253,5
P0156,P0264,2
P0156,P0131,5
P0156,P0097,4
P0156,P0072,2
P0156,P0330,1
P0156,P0363,3
P0085,P0421,2
P0085,P0071,5
P0085,P0332,2
P0085,P0189,1
P0085,P0461,2
P0085,P0487,1
P0085,P0437,3
P0428,P0206,1
P0428,P0476,1
P0428,P0072,5
P0428,P0367,3
P0428,P0389,3
P0428,P0311,3
P0484,P0330,4
P0484,P0008,3
P0484,P0471,1
P0484,P0121,1
P0484,P0019,4
P0484,P0096,3
P0484,P0491,5
P0232,P0431,5
P0232,P0468,0
P0232,P0326,3
P0232,P0051,0
P0232,P0191,4
P0232,P0379,4
P0232,P0111,2
P0143,P0031,4
P0143,P0345,2
P0143,P0246,5
P0143,P0169,4
P0143,P0165,4
P0143,P0368,0
P0143,P0260,4
P0143,P0282,0
P0172,P0439,5
P0172,P0018,5
P0172,P0156,3
P0172,P0325,0
P0172,P0292,1
P0172,P0014,4
P0172,P0257,1
P0236,P0014,1
P0236,P0003,3
P0236,P0283,4
P0236,P0329,5
P0236,P0009,5
P0236,P0343,3
P0236,P0110,1
P0236,P0150,1
P0081,P0064,1
P0081,P0436,5
P0081,P0402,1
P0497,P0059,2
P0497,P0487,1
P0497,P0263,5
P0497,P0471,5
P0497,P0023,4
P0497,P0479,5
P0497,P0091,1
P0497,P0264,3
P0089,P0124,3
P0089,P0261,3
P0089,P0427,2
P0089,P0236,2
P0089,P0012,1
P0089,P0167,1
P0213,P0487,0
P0213,P0304,3
P0213,P0455,1
P0213,P0497,3
P0213,P0280,2
P0213,P0367,5
P0213,P0236,3
P0243,P0394,2
P0243,P0415,4
P0243,P0417,4
P0243,P0397,4
P0243,P0360,0
P0243,P0037,1
P0227,P0330,5
P0227,P0417,5
P0227,P0272,2
P0227,P0355,3
P0227,P0413,0
P0227,P0425,4
P0227,P0291,5
P0416,P0234,2
P0416,P0400,5
P0416,P0024,2
P0416,P0101,5
P0416,P0159,5
P0416,P0360,0
P0177,P0006,5
P0177,P0416,1
P0177,P0186,2
P0177,P0438,3
P0177,P0145,1
P0498,P0497,2
P0498,P0093,5
P0498,P0120,3
P0498,P0050,1
P0498,P0202,5
P0498,P0242,0
P0231,P0313,0
P0231,P0357,4
P0231,P0011,3
P0231,P0296,5
P0231,P0066,0
