product,operation,step,time_min
P0226,Welding,2,58
P0226,Painting,3,45
P0226,Assembly,4,35
P0226,QC,5,44
P0112,Cutting,1,7
P0112,Welding,2,50
P0112,Painting,3,42
P0112,Assembly,4,11
P0112,QC,5,43
P0305,Cutting,1,14
P0305,Welding,2,54
P0305,Painting,3,55
P0305,Assembly,4,37
P0305,QC,5,37
P0408,Cutting,1,44
P0408,Welding,2,43
P0408,Painting,3,49
P0408,Assembly,4,51
P0408,QC,5,11
P0057,Cutting,1,56
P0057,Welding,2,19
P0057,Painting,3,39
P0057,Assembly,4,10
P0057,QC,5,36
P0233,Cutting,1,15
P0233,Welding,2,5
P0233,Painting,3,37
P0233,Assembly,4,28
P0233,QC,5,12
P0114,Cutting,1,32
P0114,Welding,2,20
P0114,Painting,3,57
P0114,Assembly,4,36
P0114,QC,5,46
P0189,Cutting,1,34
P0189,Welding,2,6
P0189,Painting,3,56
P0189,Assembly,4,20
P0189,QC,5,55
P0274,Cutting,1,29
P0274,Welding,2,60
P0274,Painting,3,31
P0274,Assembly,4,56
P0274,QC,5,36
P0261,Cutting,1,7
P0261,Welding,2,6
P0261,Painting,3,50
P0261,Assembly,4,30
P0261,QC,5,23
P0130,Cutting,1,35
P0130,Welding,2,26
P0130,Painting,3,55
P0130,Assembly,4,9
P0130,QC,5,44
P0299,Cutting,1,53
P0299,Welding,2,10
P0299,Painting,3,36
P0299,Assembly,4,22
P0299,QC,5,23
P0123,Cutting,1,41
P0123,Welding,2,59
P0123,Painting,3,39
P0123,Assembly,4,6
P0123,QC,5,33
P0345,Cutting,1,19
P0345,Welding,2,21
P0345,Painting,3,35
P0345,Assembly,4,29
P0345,QC,5,32
P0051,Cutting,1,60
P0051,Welding,2,6
P0051,Painting,3,29
P0051,Assembly,4,48
P0051,QC,5,35
P0090,Cutting,1,57
P0090,Welding,2,56
P0090,Painting,3,24
P0090,Assembly,4,17
P0090,QC,5,49
P0134,Cutting,1,33
P0134,Welding,2,28
P0134,Painting,3,19
P0134,Assembly,4,8
P0134,QC,5,59
P0250,Cutting,1,57
P0250,Welding,2,55
P0250,Painting,3,23
P0250,Assembly,4,26
P0250,QC,5,19
P0364,Cutting,1,44
P0364,Welding,2,25
P0364,Painting,3,44
P0364,Assembly,4,31
P0364,QC,5,8
P0446,Cutting,1,41
P0446,Welding,2,9
P0446,Painting,3,16
P0446,Assembly,4,49
P0446,QC,5,51
P0257,Cutting,1,7
P0257,Welding,2,38
P0257,Painting,3,59
P0257,Assembly,4,15
P0257,QC,5,56
P0437,Cutting,1,41
P0437,Welding,2,5
P0437,Painting,3,36
P0437,Assembly,4,53
P0437,QC,5,49
P0234,Cutting,1,34
P0234,Welding,2,14
P0234,Painting,3,10
P0234,Assembly,4,6
P0234,QC,5,8
P0187,Cutting,1,7
P0187,Welding,2,28
P0187,Painting,3,43
P0187,Assembly,4,7
P0187,QC,5,37
P0283,Cutting,1,58
P0283,Welding,2,17
P0283,Painting,3,54
P0283,Assembly,4,11
P0283,QC,5,55
P0098,Cutting,1,31
P0098,Welding,2,5
P0098,Painting,3,43
P0098,Assembly,4,36
P0098,QC,5,36
P0160,Cutting,1,16
P0160,Welding,2,15
P0160,Painting,3,37
P0160,Assembly,4,38
P0160,QC,5,33
P0271,Cutting,1,12
P0271,Welding,2,17
P0271,Painting,3,56
P0271,Assembly,4,12
P0271,QC,5,25
P0178,Cutting,1,9
P0178,Welding,2,41
P0178,Painting,3,22
P0178,Assembly,4,23
P0178,QC,5,42
P0089,Cutting,1,18
P0089,Welding,2,57
P0089,Painting,3,50
P0089,Assembly,4,5
P0089,QC,5,40
P0449,Cutting,1,19
P0449,Welding,2,46
P0449,Painting,3,34
P0449,Assembly,4,33
P0449,QC,5,17
P0165,Cutting,1,21
P0165,Welding,2,56
P0165,Painting,3,59
P0165,Assembly,4,14
P0165,QC,5,7
P0019,Cutting,1,45
P0019,Welding,2,55
P0019,Painting,3,56
P0019,Assembly,4,35
P0019,QC,5,58
P0065,Cutting,1,35
P0065,Welding,2,6
P0065,Painting,3,42
P0065,Assembly,4,58
P0065,QC,5,5
P0198,Cutting,1,60
P0198,Welding,2,30
P0198,Painting,3,31
P0198,Assembly,4,46
P0198,QC,5,57
P0391,Cutting,1,50
P0391,Welding,2,47
P0391,Painting,3,47
P0391,Assembly,4,5
P0391,QC,5,32
P0228,Cutting,1,22
P0228,Welding,2,53
P0228,Painting,3,38
P0228,Assembly,4,12
P0228,QC,5,53
P0056,Cutting,1,8
P0056,Welding,2,35
P0056,Painting,3,11
P0056,Assembly,4,38
P0056,QC,5,54
P0455,Cutting,1,60
P0455,Welding,2,27
P0455,Painting,3,32
P0455,Assembly,4,54
P0455,QC,5,39
P0449,Cutting,1,32
P0449,Welding,2,18
P0449,Painting,3,42
P0449,Assembly,4,29
P0449,QC,5,19
P0174,Cutting,1,16
P0174,Welding,2,43
P0174,Painting,3,33
P0174,Assembly,4,56
P0174,QC,5,57
P0286,Cutting,1,18
P0286,Welding,2,26
P0286,Painting,3,15
P0286,Assembly,4,48
P0286,QC,5,60
P0022,Cutting,1,47
P0022,Welding,2,55
P0022,Painting,3,40
P0022,Assembly,4,12
P0022,QC,5,45
P0402,Cutting,1,39
P0402,Welding,2,41
P0402,Painting,3,5
P0402,Assembly,4,30
P0402,QC,5,41
P0050,Cutting,1,35
P0050,Welding,2,17
P0050,Painting,3,58
P0050,Assembly,4,60
P0050,QC,5,39
P0199,Cutting,1,12
P0199,Welding,2,50
P0199,Painting,3,13
P0199,Assembly,4,32
P0199,QC,5,58
P0354,Cutting,1,28
P0354,Welding,2,18
P0354,Painting,3,33
P0354,Assembly,4,35
P0354,QC,5,28
P0448,Cutting,1,16
P0448,Welding,2,56
P0448,Painting,3,51
P0448,Assembly,4,45
P0448,QC,5,9
P0328,Cutting,1,6
P0328,Welding,2,15
P0328,Painting,3,34
P0328,Assembly,4,32
P0328,QC,5,50
P0431,Cutting,1,47
P0431,Welding,2,31
P0431,Painting,3,18
P0431,Assembly,4,43
P0431,QC,5,28
P0149,Cutting,1,27
P0149,Welding,2,44
P0149,Painting,3,42
P0149,Assembly,4,31
P0149,QC,5,44
P0350,Cutting,1,8
P0350,Welding,2,49
P0350,Painting,3,26
P0350,Assembly,4,13
P0350,QC,5,24
P0246,Cutting,1,30
P0246,Welding,2,26
P0246,Painting,3,31
P0246,Assembly,4,25
P0246,QC,5,31
P0081,Cutting,1,13
P0081,Welding,2,36
P0081,Painting,3,39
P0081,Assembly,4,46
P0081,QC,5,49
P0219,Cutting,1,41
P0219,Welding,2,56
P0219,Painting,3,60
P0219,Assembly,4,22
P0219,QC,5,50
P0151,Cutting,1,53
P0151,Welding,2,24
P0151,Painting,3,30
P0151,Assembly,4,59
P0151,QC,5,14
P0350,Cutting,1,23
P0350,Welding,2,17
P0350,Painting,3,5
P0350,Assembly,4,29
P0350,QC,5,35
P0489,Cutting,1,13
P0489,Welding,2,50
P0489,Painting,3,19
P0489,Assembly,4,5
P0489,QC,5,28
P0331,Cutting,1,37
P0331,Welding,2,57
P0331,Painting,3,18
P0331,Assembly,4,30
P0331,QC,5,16
P0062,Cutting,1,49
P0062,Welding,2,16
P0062,Painting,3,35
P0062,Assembly,4,54
P0062,QC,5,16
P0312,Cutting,1,8
P0312,Welding,2,28
P0312,Painting,3,41
P0312,Assembly,4,17
P0312,QC,5,13
P0367,Cutting,1,58
P0367,Welding,2,20
P0367,Painting,3,33
P0367,Assembly,4,57
P0367,QC,5,50
P0420,Cutting,1,51
P0420,Welding,2,32
P0420,Painting,3,11
P0420,Assembly,4,6
P0420,QC,5,52
P0017,Cutting,1,29
P0017,Welding,2,32
P0017,Painting,3,58
P0017,Assembly,4,57
P0017,QC,5,40
P0086,Cutting,1,20
P0086,Welding,2,53
P0086,Painting,3,5
P0086,Assembly,4,51
P0086,QC,5,58
P0044,Cutting,1,41
P0044,Welding,2,20
P0044,Painting,3,12
P0044,Assembly,4,20
P0044,QC,5,26
P0150,Cutting,1,19
P0150,Welding,2,40
P0150,Painting,3,15
P0150,Assembly,4,50
P0150,QC,5,46
P0386,Cutting,1,50
P0386,Welding,2,19
P0386,Painting,3,47
P0386,Assembly,4,13
P0386,QC,5,13
P0488,Cutting,1,60
P0488,Welding,2,43
P0488,Painting,3,28
P0488,Assembly,4,29
P0488,QC,5,41
P0083,Cutting,1,22
P0083,Welding,2,31
P0083,Painting,3,9
P0083,Assembly,4,39
P0083,QC,5,10
P0361,Cutting,1,14
P0361,Welding,2,41
P0361,Painting,3,22
P0361,Assembly,4,58
P0361,QC,5,6
P0226,Cutting,1,31
P0226,Welding,2,55
P0226,Painting,3,27
P0226,Assembly,4,13
P0226,QC,5,13
P0231,Cutting,1,57
P0231,Welding,2,25
P0231,Painting,3,47
P0231,Assembly,4,36
P0231,QC,5,5
P0447,Cutting,1,24
P0447,Welding,2,32
P0447,Painting,3,42
P0447,Assembly,4,15
P0447,QC,5,5
P0442,Cutting,1,43
P0442,Welding,2,23
P0442,Painting,3,31
P0442,Assembly,4,21
P0442,QC,5,36
P0324,Cutting,1,14
P0324,Welding,2,27
P0324,Painting,3,35
P0324,Assembly,4,25
P0324,QC,5,41
P0059,Cutting,1,53
P0059,Welding,2,46
P0059,Painting,3,33
P0059,Assembly,4,59
P0059,QC,5,33
P0472,Cutting,1,47
P0472,Welding,2,41
P0472,Painting,3,49
P0472,Assembly,4,23
P0472,QC,5,42
P0047,Cutting,1,21
P0047,Welding,2,30
P0047,Painting,3,50
P0047,Assembly,4,59
P0047,QC,5,58
P0138,Cutting,1,41
P0138,Welding,2,50
P0138,Painting,3,46
P0138,Assembly,4,7
P0138,QC,5,40
P0027,Cutting,1,8
P0027,Welding,2,10
P0027,Painting,3,20
P0027,Assembly,4,26
P0027,QC,5,13
P0159,Cutting,1,39
P0159,Welding,2,8
P0159,Painting,3,39
P0159,Assembly,4,36
P0159,QC,5,41
P0198,Cutting,1,40
P0198,Welding,2,17
P0198,Painting,3,44
P0198,Assembly,4,5
P0198,QC,5,42
P0496,Cutting,1,50
P0496,Welding,2,15
P0496,Painting,3,36
P0496,Assembly,4,48
P0496,QC,5,41
P0087,Cutting,1,18
P0087,Welding,2,25
P0087,Painting,3,51
P0087,Assembly,4,30
P0087,QC,5,54
P0160,Cutting,1,38
P0160,Welding,2,5
P0160,Painting,3,5
P0160,Assembly,4,7
P0160,QC,5,29
P0140,Cutting,1,22
P0140,Welding,2,52
P0140,Painting,3,16
P0140,Assembly,4,32
P0140,QC,5,30
P0238,Cutting,1,57
P0238,Welding,2,12
P0238,Painting,3,14
P0238,Assembly,4,9
P0238,QC,5,41
P0481,Cutting,1,24
P0481,Welding,2,19
P0481,Painting,3,37
P0481,Assembly,4,8
P0481,QC,5,45
P0115,Cutting,1,16
P0115,Welding,2,26
P0115,Painting,3,12
P0115,Assembly,4,8
P0115,QC,5,35
P0419,Cutting,1,17
P0419,Welding,2,41
P0419,Painting,3,33
P0419,Assembly,4,23
P0419,QC,5,17
P0186,Cutting,1,60
P0186,Welding,2,6
P0186,Painting,3,49
P0186,Assembly,4,58
P0186,QC,5,51
P0415,Cutting,1,18
P0415,Welding,2,54
P0415,Painting,3,42
P0415,Assembly,4,11
P0415,QC,5,23
P0376,Cutting,1,10
P0376,Welding,2,23
P0376,Painting,3,60
P0376,Assembly,4,52
P0376,QC,5,38
P0054,Cutting,1,33
P0054,Welding,2,22
P0054,Painting,3,14
P0054,Assembly,4,32
P0054,QC,5,28
P0476,Cutting,1,19
P0476,Welding,2,15
P0476,Painting,3,47
P0476,Assembly,4,10
P0476,QC,5,30
P0192,Cutting,1,22
P0192,Welding,2,11
P0192,Painting,3,21
P0192,Assembly,4,43
P0192,QC,5,28
P0199,Cutting,1,24
P0199,Welding,2,35
P0199,Painting,3,44
P0199,Assembly,4,44
P0199,QC,5,37
P0293,Cutting,1,54
P0293,Welding,2,56
P0293,Painting,3,34
P0293,Assembly,4,25
P0293,QC,5,60
P0454,Cutting,1,16
P0454,Welding,2,11
P0454,Painting,3,52
P0454,Assembly,4,19
P0454,QC,5,52
P0185,Cutting,1,18
P0185,Welding,2,28
P0185,Painting,3,38
P0185,Assembly,4,24
P0185,QC,5,26
P0248,Cutting,1,22
P0248,Welding,2,28
P0248,Painting,3,17
P0248,Assembly,4,7
P0248,QC,5,34
P0038,Cutting,1,55
P0038,Welding,2,12
P0038,Painting,3,20
P0038,Assembly,4,54
P0038,QC,5,14
P0084,Cutting,1,50
P0084,Welding,2,51
P0084,Painting,3,46
P0084,Assembly,4,48
P0084,QC,5,21
P0136,Cutting,1,37
P0136,Welding,2,59
P0136,Painting,3,42
P0136,Assembly,4,26
P0136,QC,5,49
P0452,Cutting,1,48
P0452,Welding,2,55
P0452,Painting,3,9
P0452,Assembly,4,23
P0452,QC,5,36
P0397,Cutting,1,10
P0397,Welding,2,15
P0397,Painting,3,9
P0397,Assembly,4,11
P0397,QC,5,25
P0214,Cutting,1,16
P0214,Welding,2,47
P0214,Painting,3,33
P0214,Assembly,4,47
P0214,QC,5,50
P0259,Cutting,1,6
P0259,Welding,2,5
P0259,Painting,3,13
P0259,Assembly,4,47
P0259,QC,5,39
P0346,Cutting,1,34
P0346,Welding,2,27
P0346,Painting,3,29
P0346,Assembly,4,19
P0346,QC,5,5
P0098,Cutting,1,44
P0098,Welding,2,36
P0098,Painting,3,54
P0098,Assembly,4,30
P0098,QC,5,26
P0032,Cutting,1,53
P0032,Welding,2,45
P0032,Painting,3,28
P0032,Assembly,4,56
P0032,QC,5,31
P0140,Cutting,1,12
P0140,Welding,2,54
P0140,Painting,3,44
P0140,Assembly,4,56
P0140,QC,5,27
P0220,Cutting,1,46
P0220,Welding,2,30
P0220,Painting,3,39
P0220,Assembly,4,51
P0220,QC,5,41
P0139,Cutting,1,21
P0139,Welding,2,30
P0139,Painting,3,54
P0139,Assembly,4,31
P0139,QC,5,49
P0078,Cutting,1,26
P0078,Welding,2,52
P0078,Painting,3,41
P0078,Assembly,4,41
P0078,QC,5,25
P0374,Cutting,1,33
P0374,Welding,2,5
P0374,Painting,3,56
P0374,Assembly,4,15
P0374,QC,5,10
P0487,Cutting,1,36
P0487,Welding,2,31
P0487,Painting,3,32
P0487,Assembly,4,18
P0487,QC,5,41
P0221,Cutting,1,16
P0221,Welding,2,12
P0221,Painting,3,32
P0221,Assembly,4,53
P0221,QC,5,57
P0094,Cutting,1,52
P0094,Welding,2,54
P0094,Painting,3,16
P0094,Assembly,4,23
P0094,QC,5,10
P0027,Cutting,1,48
P0027,Welding,2,49
P0027,Painting,3,52
P0027,Assembly,4,32
P0027,QC,5,41
P0038,Cutting,1,24
P0038,Welding,2,54
P0038,Painting,3,53
P0038,Assembly,4,59
P0038,QC,5,58
P0065,Cutting,1,60
P0065,Welding,2,34
P0065,Painting,3,40
P0065,Assembly,4,6
P0065,QC,5,59
P0219,Cutting,1,12
P0219,Welding,2,21
P0219,Painting,3,14
P0219,Assembly,4,23
P0219,QC,5,34
P0179,Cutting,1,5
P0179,Welding,2,29
P0179,Painting,3,35
P0179,Assembly,4,33
P0179,QC,5,38
P0229,Cutting,1,18
P0229,Welding,2,14
P0229,Painting,3,54
P0229,Assembly,4,51
P0229,QC,5,10
P0099,Cutting,1,49
P0099,Welding,2,11
P0099,Painting,3,52
P0099,Assembly,4,9
P0099,QC,5,28
P0382,Cutting,1,35
P0382,Welding,2,52
P0382,Painting,3,25
P0382,Assembly,4,28
P0382,QC,5,26
P0154,Cutting,1,55
P0154,Welding,2,37
P0154,Painting,3,5
P0154,Assembly,4,14
P0154,QC,5,18
P0032,Cutting,1,58
P0032,Welding,2,17
P0032,Painting,3,24
P0032,Assembly,4,9
P0032,QC,5,14
