part_id,warehouse,stock
P0135,CA,139
P0087,UK,15
P0152,UK,174
P0083,UK,9
P0036,UK,166
P0200,CA,186
P0297,CA,153
P0485,UK,31
P0144,US,182
P0137,UK,123
P0238,CA,-1
P0412,CA,14
P0459,UK,108
P0492,UK,86
P0381,CA,161
P0035,CA,152
P0239,UK,16
P0218,US,174
P0113,US,132
P0227,UK,85
P0243,UK,193
P0290,UK,49
P0047,CA,4
P0174,UK,2
P0421,CA,140
P0295,UK,128
P0193,US,187
P0018,US,85
P0306,US,17
P0310,US,198
P0400,US,105
P0236,CA,124
P0271,UK,168
P0140,US,-1
P0100,US,110
P0454,CA,154
P0235,UK,131
P0247,US,68
P0441,US,115
P0411,CA,125
P0088,US,63
P0063,CA,179
P0365,US,13
P0342,UK,59
P0089,UK,98
P0375,CA,160
P0461,CA,110
P0390,UK,75
P0266,UK,179
P0106,CA,20
P0158,US,186
P0468,CA,112
P0007,UK,137
P0452,US,20
P0184,US,11
P0359,CA,-1
P0359,UK,190
P0078,CA,116
P0395,CA,52
P0320,US,59
P0103,UK,43
P0327,CA,13
P0117,US,175
P0256,CA,-1
P0067,US,118
P0451,UK,67
P0034,US,119
P0004,US,58
P0184,UK,66
P0187,CA,117
P0084,US,85
P0414,CA,-3
P0233,CA,143
P0030,US,76
P0423,US,95
P0462,UK,67
P0273,US,100
P0473,UK,199
P0214,CA,57
P0010,US,46
P0259,UK,63
P0324,US,165
P0117,CA,-1
P0014,CA,3
P0371,CA,-1
P0246,CA,127
P0195,CA,181
P0212,UK,44
P0049,CA,25
P0287,CA,144
P0292,CA,64
P0078,UK,163
P0379,US,93
P0231,UK,162
P0247,US,41
P0253,UK,37
P0118,UK,78
P0399,CA,92
P0499,UK,130
P0162,UK,195
P0089,UK,-1
P0478,CA,152
P0352,UK,16
P0254,UK,-1
P0466,UK,131
P0389,CA,91
P0469,CA,180
P0351,CA,79
P0109,UK,-1
P0370,UK,51
P0405,CA,71
P0090,US,152
P0136,CA,7
P0184,UK,-1
P0168,CA,154
P0281,CA,67
P0291,UK,-1
P0159,CA,149
P0024,CA,28
P0270,CA,75
P0033,CA,124
P0060,UK,112
P0379,CA,4
P0487,CA,131
P0131,CA,193
P0471,US,46
P0190,CA,53
P0434,UK,113
P0377,US,62
P0166,UK,57
P0466,CA,83
P0305,UK,41
P0054,US,9
P0045,US,176
P0423,UK,118
P0223,CA,191
P0159,US,193
P0391,UK,128
P0469,US,54
P0119,UK,53
P0397,US,153
P0466,CA,24
P0378,CA,93
P0028,US,122
P0231,UK,121
P0115,UK,8
P0434,US,141
P0025,US,164
P0188,UK,114
P0237,UK,193
P0309,UK,165
P0145,UK,131
P0437,UK,144
P0250,CA,27
P0083,UK,21
P0460,CA,154
P0057,CA,145
P0382,CA,167
P0270,US,23
P0127,UK,-1
P0109,UK,112
P0213,US,197
P0088,UK,185
P0090,CA,13
P0180,CA,197
P0158,UK,29
P0312,CA,37
P0469,CA,52
P0334,US,30
P0074,US,23
P0071,US,83
P0032,UK,102
P0023,UK,79
P0268,US,165
P0256,US,61
P0143,UK,85
P0148,UK,100
P0215,US,-3
P0357,US,17
P0323,CA,30
P0049,UK,34
P0369,CA,23
P0050,UK,11
P0485,UK,9
P0031,US,160
P0314,UK,27
P0298,UK,30
P0265,US,-1
P0304,UK,86
P0405,CA,86
P0319,CA,-1
P0056,CA,67
P0101,US,160
P0424,CA,11
P0380,US,143
P0459,CA,44
P0156,US,172
P0135,CA,95
P0491,US,96
P0484,US,180
P0281,UK,-1
P0160,UK,-1
P0269,UK,196
P0458,CA,132
P0372,UK,5
P0473,US,112
P0024,UK,35
P0384,CA,62
P0431,CA,165
P0134,US,57
P0031,UK,93
P0199,UK,200
P0479,CA,69
P0044,CA,43
P0282,CA,53
P0394,US,121
P0273,US,28
P0071,UK,164
P0467,US,151
P0296,CA,28
P0221,US,43
P0464,US,156
P0236,CA,197
P0329,UK,168
P0407,US,64
P0389,CA,174
P0295,US,176
P0071,UK,66
P0451,UK,106
P0322,UK,64
P0436,UK,157
P0500,CA,156
P0359,UK,73
P0247,CA,149
P0258,US,108
P0478,UK,113
P0365,UK,57
P0290,US,-1
P0252,US,138
P0291,UK,173
P0430,CA,144
P0083,CA,183
P0023,US,43
P0196,US,25
P0419,UK,183
P0016,CA,63
P0033,CA,84
P0259,US,77
P0414,CA,-1
P0030,UK,199
P0054,UK,198
P0235,UK,-2
P0428,US,62
P0141,US,25
P0374,US,116
P0468,US,105
P0291,US,33
P0109,UK,60
P0225,US,54
P0059,US,145
P0055,UK,176
P0392,US,61
P0194,US,176
P0481,UK,-3
P0489,US,167
P0167,CA,156
P0429,UK,59
P0216,UK,118
P0315,UK,39
P0161,US,18
P0199,US,123
P0108,UK,150
P0051,UK,100
P0460,US,40
P0316,US,71
P0054,US,51
P0268,CA,137
P0212,CA,8
P0279,CA,12
P0098,US,126
P0093,CA,115
P0477,CA,-3
P0205,CA,60
P0334,UK,7
P0427,UK,189
P0309,UK,36
P0217,UK,172
P0233,CA,159
P0072,CA,94
P0473,UK,-1
P0110,US,161
P0391,US,32
P0376,US,0
P0136,UK,10
P0279,US,53
P0143,CA,174
P0194,CA,124
P0274,UK,174
P0050,CA,200
P0384,UK,10
P0060,US,106
P0276,US,73
P0463,US,70
P0181,UK,172
P0275,US,-1
P0319,US,169
P0156,UK,163
P0404,US,191
P0070,US,197
P0176,CA,-1
P0377,US,127
P0048,UK,-1
P0418,US,75
P0346,CA,193
P0437,US,145
P0266,US,114
P0094,US,18
P0440,UK,123
P0137,US,166
P0296,CA,30
P0324,CA,168
P0476,UK,38
P0453,CA,34
P0203,UK,151
P0102,UK,111
P0196,UK,-1
P0491,US,160
P0298,UK,70
P0013,UK,21
P0310,CA,16
P0226,US,159
P0483,US,18
P0421,US,135
P0044,CA,11
P0059,CA,31
P0487,CA,187
P0339,US,180
P0265,CA,50
P0224,UK,113
P0240,US,15
P0382,CA,74
P0075,US,47
P0040,CA,-4
P0450,CA,37
P0024,US,66
P0498,UK,120
P0101,CA,177
P0031,CA,111
P0061,CA,115
P0406,US,157
P0358,UK,32
P0359,CA,-1
P0315,US,95
P0453,US,63
P0151,CA,142
P0026,CA,32
P0365,US,155
P0392,US,132
P0245,CA,16
P0440,UK,79
P0231,UK,192
P0479,US,49
P0183,CA,181
P0053,UK,185
P0226,UK,101
P0370,UK,62
P0080,US,11
P0302,US,35
P0165,US,12
P0351,US,58
P0327,US,125
P0301,CA,96
P0217,CA,111
P0430,US,184
P0139,UK,94
P0350,UK,14
P0272,US,34
P0469,UK,14
P0429,UK,-1
P0113,UK,142
P0019,CA,-1
P0320,US,156
P0094,UK,44
P0330,UK,81
P0315,CA,41
P0423,UK,149
P0311,CA,196
P0449,US,9
P0002,UK,28
P0010,US,20
P0225,UK,45
P0325,UK,34
P0430,US,3
P0237,US,86
P0463,CA,75
P0264,CA,174
P0256,US,133
P0007,CA,138
P0304,UK,186
P0301,US,199
P0166,US,133
P0312,UK,136
P0235,CA,-1
P0222,CA,30
P0053,US,27
P0094,US,123
P0338,CA,9
P0389,US,20
P0304,UK,56
P0289,US,3
P0238,UK,112
P0401,UK,51
P0285,UK,116
P0164,CA,192
P0127,US,2
P0027,UK,172
P0439,CA,149
P0313,US,143
P0129,UK,81
P0264,CA,-1
P0342,UK,161
P0233,CA,76
P0304,UK,95
P0221,US,161
P0099,US,142
P0361,UK,112
P0199,UK,158
P0282,UK,74
P0113,CA,172
P0028,US,77
P0168,UK,-1
P0394,US,144
P0206,UK,169
P0060,CA,200
P0163,US,116
P0396,CA,40
P0375,CA,41
P0163,CA,40
P0217,UK,12
P0402,CA,183
P0030,UK,5
P0296,CA,120
P0333,UK,24
P0430,UK,156
P0267,US,107
P0087,UK,91
P0300,UK,137
P0194,US,93
P0350,CA,112
P0260,UK,181
P0467,US,146
P0050,UK,192
P0153,US,190
P0442,UK,103
P0228,UK,-1
P0284,CA,25
P0425,US,136
P0251,UK,77
P0181,UK,168
P0030,UK,170
P0277,UK,168
P0240,UK,-3
P0253,US,168
P0336,US,148
P0147,CA,131
P0414,US,172
P0200,US,197
P0491,CA,183
P0258,UK,-1
P0381,UK,71
P0251,US,42
P0335,CA,160
P0390,UK,61
P0426,US,9
P0050,UK,150
P0091,CA,174
P0486,US,196
P0139,UK,81
P0117,US,131
P0143,US,158
P0111,UK,197
P0256,US,15
P0272,UK,129
P0231,US,13
P0182,US,13
P0175,CA,31
P0390,UK,42
P0313,UK,23
P0186,UK,52
P0019,UK,53
P0094,UK,187
P0144,CA,68
P0415,CA,195
P0052,US,106
P0415,US,-5
P0149,US,81
P0355,CA,44
P0418,UK,22
P0079,UK,28
P0076,US,169
P0360,US,27
P0131,CA,-1
P0106,UK,44
P0048,UK,134
P0439,CA,124
P0174,US,107
P0311,UK,2
P0420,CA,32
P0051,US,1
P0238,UK,40
P0182,CA,10
P0310,UK,44
P0188,CA,58
P0067,US,194
P0181,UK,7
P0477,UK,108
P0257,UK,72
P0061,CA,4
P0019,CA,162
P0049,UK,35
P0449,CA,91
P0262,CA,128
P0111,UK,115
P0075,US,3
P0227,CA,157
P0073,UK,92
P0209,US,153
P0046,US,75
P0273,US,87
P0136,US,75
P0250,US,184
P0352,US,168
P0290,CA,137
P0080,UK,119
P0357,CA,43
P0152,UK,102
P0078,US,14
P0356,US,178
P0176,UK,143
P0307,CA,129
P0070,US,74
P0196,CA,128
P0127,US,83
P0194,US,174
P0103,UK,23
P0105,UK,137
P0173,UK,88
P0183,UK,176
P0112,US,194
P0337,UK,189
P0072,US,98
P0070,US,35
P0485,CA,33
P0202,CA,25
P0359,US,191
P0422,UK,128
P0083,US,154
P0497,CA,124
P0018,UK,164
P0432,UK,183
P0025,UK,128
P0091,UK,80
P0011,UK,84
P0071,CA,77
P0200,UK,75
P0114,CA,39
P0379,UK,117
P0259,US,113
P0401,CA,66
P0116,CA,187
P0324,CA,53
P0063,UK,18
P0324,CA,125
P0164,CA,36
P0487,UK,112
P0168,UK,33
P0050,CA,97
P0006,UK,163
P0364,CA,-1
P0281,CA,-1
P0176,CA,83
P0010,CA,163
P0083,US,5
P0267,CA,91
P0038,CA,7
P0237,CA,186
P0069,US,42
P0135,UK,28
P0282,UK,60
P0171,CA,-1
P0437,UK,11
P0452,CA,51
P0126,CA,9
P0336,CA,36
P0419,UK,78
P0025,US,150
P0398,UK,20
P0343,UK,15
P0072,UK,58
P0021,CA,-1
P0479,US,183
P0310,CA,149
P0228,CA,19
P0290,US,157
P0171,UK,79
P0129,US,182
P0389,CA,132
P0238,US,106
P0196,UK,114
P0007,UK,80
P0086,CA,42
P0410,UK,165
P0110,UK,36
P0394,US,109
P0127,US,74
P0104,UK,139
P0353,UK,65
P0244,CA,162
P0371,US,197
